type,value,timestamp,id,severity,binary,command,mitre_id,mitre_link
high_memory,89.8,2025-04-30T09:54:10.980114,alert-1745978050-57,N/A,N/A,N/A,N/A,N/A
high_memory,84.5,2025-04-30T09:55:11.999383,alert-1745978111-58,N/A,N/A,N/A,N/A,N/A
high_memory,82.5,2025-04-30T09:56:13.022647,alert-1745978173-59,N/A,N/A,N/A,N/A,N/A
high_memory,84.0,2025-04-30T09:57:14.033626,alert-1745978234-60,N/A,N/A,N/A,N/A,N/A
high_memory,81.7,2025-04-30T09:58:15.044785,alert-1745978295-61,N/A,N/A,N/A,N/A,N/A
high_memory,82.7,2025-04-30T09:59:16.055737,alert-1745978356-62,N/A,N/A,N/A,N/A,N/A
high_memory,81.8,2025-04-30T10:00:17.065347,alert-1745978417-63,N/A,N/A,N/A,N/A,N/A
high_memory,82.1,2025-04-30T10:01:18.079437,alert-1745978478-64,N/A,N/A,N/A,N/A,N/A
high_memory,81.9,2025-04-30T10:02:19.093749,alert-1745978539-65,N/A,N/A,N/A,N/A,N/A
high_memory,82.1,2025-04-30T10:03:20.107686,alert-1745978600-66,N/A,N/A,N/A,N/A,N/A
high_memory,82.2,2025-04-30T10:04:21.119051,alert-1745978661-67,N/A,N/A,N/A,N/A,N/A
high_memory,82.5,2025-04-30T10:05:22.139889,alert-1745978722-68,N/A,N/A,N/A,N/A,N/A
high_memory,82.3,2025-04-30T10:06:23.154860,alert-1745978783-69,N/A,N/A,N/A,N/A,N/A
high_memory,81.8,2025-04-30T10:07:24.166709,alert-1745978844-70,N/A,N/A,N/A,N/A,N/A
high_memory,82.8,2025-04-30T10:08:25.177759,alert-1745978905-71,N/A,N/A,N/A,N/A,N/A
high_memory,82.2,2025-04-30T10:09:26.195916,alert-1745978966-72,N/A,N/A,N/A,N/A,N/A
high_memory,81.5,2025-04-30T10:10:27.210386,alert-1745979027-73,N/A,N/A,N/A,N/A,N/A
high_memory,81.6,2025-04-30T10:11:28.221689,alert-1745979088-74,N/A,N/A,N/A,N/A,N/A
high_memory,80.6,2025-04-30T10:13:30.252800,alert-1745979210-75,N/A,N/A,N/A,N/A,N/A
high_memory,80.7,2025-04-30T10:14:31.264787,alert-1745979271-76,N/A,N/A,N/A,N/A,N/A
high_memory,81.5,2025-04-30T10:15:32.276261,alert-1745979332-77,N/A,N/A,N/A,N/A,N/A
high_memory,82.7,2025-04-30T10:16:33.287983,alert-1745979393-78,N/A,N/A,N/A,N/A,N/A
high_memory,80.3,2025-04-30T10:17:34.302163,alert-1745979454-79,N/A,N/A,N/A,N/A,N/A
high_memory,80.4,2025-04-30T10:18:35.315233,alert-1745979515-80,N/A,N/A,N/A,N/A,N/A
high_memory,80.4,2025-04-30T10:19:36.326924,alert-1745979576-81,N/A,N/A,N/A,N/A,N/A
high_memory,80.2,2025-04-30T10:20:37.343258,alert-1745979637-82,N/A,N/A,N/A,N/A,N/A
high_memory,81.1,2025-04-30T10:21:38.355341,alert-1745979698-83,N/A,N/A,N/A,N/A,N/A
high_memory,80.4,2025-04-30T10:23:40.371611,alert-1745979820-84,N/A,N/A,N/A,N/A,N/A
high_memory,80.5,2025-04-30T10:24:41.382668,alert-1745979881-85,N/A,N/A,N/A,N/A,N/A
high_memory,81.6,2025-04-30T10:30:47.432851,alert-1745980247-86,N/A,N/A,N/A,N/A,N/A
high_memory,81.6,2025-04-30T10:31:48.448185,alert-1745980308-87,N/A,N/A,N/A,N/A,N/A
high_memory,80.4,2025-04-30T10:32:49.458316,alert-1745980369-88,N/A,N/A,N/A,N/A,N/A
high_memory,80.7,2025-04-30T10:33:50.475345,alert-1745980430-89,N/A,N/A,N/A,N/A,N/A
high_memory,80.2,2025-04-30T10:34:51.487797,alert-1745980491-90,N/A,N/A,N/A,N/A,N/A
high_memory,80.9,2025-04-30T10:35:52.501034,alert-1745980552-91,N/A,N/A,N/A,N/A,N/A
high_memory,85.9,2025-04-30T11:25:41.919769,alert-1745983541-92,N/A,N/A,N/A,N/A,N/A
high_memory,86.4,2025-04-30T11:26:42.934110,alert-1745983602-93,N/A,N/A,N/A,N/A,N/A
high_memory,84.5,2025-04-30T11:27:43.951305,alert-1745983663-94,N/A,N/A,N/A,N/A,N/A
high_memory,83.4,2025-04-30T11:28:44.967756,alert-1745983724-95,N/A,N/A,N/A,N/A,N/A
high_memory,89.8,2025-04-30T11:29:45.990824,alert-1745983785-96,N/A,N/A,N/A,N/A,N/A
high_memory,86.1,2025-04-30T11:30:47.020781,alert-1745983847-97,N/A,N/A,N/A,N/A,N/A
high_memory,86.1,2025-04-30T11:31:48.043194,alert-1745983908-98,N/A,N/A,N/A,N/A,N/A
high_memory,83.4,2025-04-30T11:32:49.065404,alert-1745983969-99,N/A,N/A,N/A,N/A,N/A
high_memory,83.5,2025-04-30T11:33:50.076665,alert-1745984030-100,N/A,N/A,N/A,N/A,N/A
high_memory,83.7,2025-04-30T11:34:51.089668,alert-1745984091-101,N/A,N/A,N/A,N/A,N/A
high_memory,88.6,2025-04-30T11:35:52.121599,alert-1745984152-102,N/A,N/A,N/A,N/A,N/A
high_memory,88.6,2025-04-30T11:36:53.136435,alert-1745984213-103,N/A,N/A,N/A,N/A,N/A
high_memory,86.2,2025-04-30T11:37:54.150765,alert-1745984274-104,N/A,N/A,N/A,N/A,N/A
high_memory,86.4,2025-04-30T11:38:55.172152,alert-1745984335-105,N/A,N/A,N/A,N/A,N/A
high_memory,85.0,2025-04-30T11:39:56.215566,alert-1745984396-106,N/A,N/A,N/A,N/A,N/A
high_memory,84.0,2025-04-30T11:40:57.236983,alert-1745984457-107,N/A,N/A,N/A,N/A,N/A
high_memory,81.8,2025-04-30T11:41:58.248857,alert-1745984518-108,N/A,N/A,N/A,N/A,N/A
high_memory,82.7,2025-04-30T11:42:59.268496,alert-1745984579-109,N/A,N/A,N/A,N/A,N/A
high_memory,80.5,2025-04-30T11:44:00.288675,alert-1745984640-110,N/A,N/A,N/A,N/A,N/A
high_memory,81.1,2025-04-30T11:45:01.302663,alert-1745984701-111,N/A,N/A,N/A,N/A,N/A
high_memory,80.8,2025-04-30T11:46:02.317157,alert-1745984762-112,N/A,N/A,N/A,N/A,N/A
